Episode,Total Reward
1.0,13.0
2.0,24.0
3.0,11.0
4.0,53.0
5.0,25.0
6.0,15.0
7.0,27.0
8.0,17.0
9.0,13.0
10.0,14.0
11.0,14.0
12.0,15.0
13.0,12.0
14.0,13.0
15.0,14.0
16.0,13.0
17.0,19.0
18.0,18.0
19.0,22.0
20.0,12.0
21.0,37.0
22.0,22.0
23.0,26.0
24.0,21.0
25.0,16.0
26.0,26.0
27.0,12.0
28.0,30.0
29.0,32.0
30.0,20.0
31.0,17.0
32.0,26.0
33.0,22.0
34.0,11.0
35.0,36.0
36.0,9.0
37.0,33.0
38.0,15.0
39.0,23.0
40.0,59.0
41.0,12.0
42.0,29.0
43.0,20.0
44.0,15.0
45.0,23.0
46.0,72.0
47.0,17.0
48.0,9.0
49.0,25.0
50.0,17.0
51.0,13.0
52.0,19.0
53.0,18.0
54.0,15.0
55.0,31.0
56.0,40.0
57.0,15.0
58.0,31.0
59.0,23.0
60.0,17.0
61.0,9.0
62.0,14.0
63.0,12.0
64.0,18.0
65.0,35.0
66.0,18.0
67.0,10.0
68.0,25.0
69.0,42.0
70.0,15.0
71.0,9.0
72.0,11.0
73.0,27.0
74.0,18.0
75.0,17.0
76.0,19.0
77.0,12.0
78.0,14.0
79.0,18.0
80.0,20.0
81.0,20.0
82.0,23.0
83.0,11.0
84.0,12.0
85.0,15.0
86.0,56.0
87.0,11.0
88.0,22.0
89.0,22.0
90.0,27.0
91.0,19.0
92.0,22.0
93.0,36.0
94.0,18.0
95.0,20.0
96.0,25.0
97.0,29.0
98.0,27.0
99.0,9.0
100.0,50.0
101.0,10.0
102.0,21.0
103.0,19.0
104.0,15.0
105.0,39.0
106.0,14.0
107.0,11.0
108.0,13.0
109.0,39.0
110.0,17.0
111.0,16.0
112.0,11.0
113.0,13.0
114.0,15.0
115.0,15.0
116.0,17.0
117.0,12.0
118.0,12.0
119.0,13.0
120.0,15.0
121.0,19.0
122.0,21.0
123.0,12.0
124.0,35.0
125.0,17.0
126.0,17.0
127.0,29.0
128.0,14.0
129.0,16.0
130.0,25.0
131.0,53.0
132.0,11.0
133.0,40.0
134.0,24.0
135.0,12.0
136.0,22.0
137.0,14.0
138.0,23.0
139.0,19.0
140.0,16.0
141.0,16.0
142.0,18.0
143.0,26.0
144.0,14.0
145.0,11.0
146.0,20.0
147.0,34.0
148.0,34.0
149.0,12.0
150.0,15.0
151.0,28.0
152.0,20.0
153.0,53.0
154.0,11.0
155.0,12.0
156.0,25.0
157.0,24.0
158.0,44.0
159.0,40.0
160.0,14.0
161.0,10.0
162.0,14.0
163.0,14.0
164.0,44.0
165.0,19.0
166.0,15.0
167.0,49.0
168.0,15.0
169.0,57.0
170.0,25.0
171.0,16.0
172.0,25.0
173.0,31.0
174.0,14.0
175.0,24.0
176.0,20.0
177.0,21.0
178.0,34.0
179.0,17.0
180.0,93.0
181.0,46.0
182.0,59.0
183.0,66.0
184.0,31.0
185.0,20.0
186.0,30.0
187.0,12.0
188.0,13.0
189.0,50.0
190.0,23.0
191.0,17.0
192.0,65.0
193.0,49.0
194.0,16.0
195.0,74.0
196.0,31.0
197.0,30.0
198.0,17.0
199.0,13.0
200.0,23.0
201.0,18.0
202.0,35.0
203.0,26.0
204.0,22.0
205.0,48.0
206.0,16.0
207.0,40.0
208.0,16.0
209.0,45.0
210.0,12.0
211.0,26.0
212.0,44.0
213.0,22.0
214.0,24.0
215.0,13.0
216.0,37.0
217.0,13.0
218.0,32.0
219.0,66.0
220.0,47.0
221.0,19.0
222.0,51.0
223.0,67.0
224.0,26.0
225.0,55.0
226.0,24.0
227.0,19.0
228.0,14.0
229.0,35.0
230.0,12.0
231.0,12.0
232.0,32.0
233.0,25.0
234.0,26.0
235.0,25.0
236.0,40.0
237.0,43.0
238.0,15.0
239.0,47.0
240.0,67.0
241.0,23.0
242.0,20.0
243.0,20.0
244.0,25.0
245.0,34.0
246.0,38.0
247.0,31.0
248.0,11.0
249.0,27.0
250.0,66.0
251.0,44.0
252.0,27.0
253.0,22.0
254.0,29.0
255.0,11.0
256.0,10.0
257.0,71.0
258.0,34.0
259.0,18.0
260.0,68.0
261.0,70.0
262.0,49.0
263.0,39.0
264.0,63.0
265.0,21.0
266.0,40.0
267.0,31.0
268.0,16.0
269.0,18.0
270.0,32.0
271.0,12.0
272.0,31.0
273.0,22.0
274.0,15.0
275.0,13.0
276.0,15.0
277.0,14.0
278.0,42.0
279.0,14.0
280.0,16.0
281.0,37.0
282.0,72.0
283.0,23.0
284.0,12.0
285.0,19.0
286.0,28.0
287.0,24.0
288.0,31.0
289.0,21.0
290.0,43.0
291.0,12.0
292.0,56.0
293.0,57.0
294.0,46.0
295.0,32.0
296.0,29.0
297.0,126.0
298.0,56.0
299.0,91.0
300.0,34.0
301.0,15.0
302.0,54.0
303.0,27.0
304.0,17.0
305.0,20.0
306.0,18.0
307.0,16.0
308.0,36.0
309.0,61.0
310.0,22.0
311.0,52.0
312.0,85.0
313.0,19.0
314.0,43.0
315.0,22.0
316.0,79.0
317.0,27.0
318.0,14.0
319.0,48.0
320.0,36.0
321.0,10.0
322.0,10.0
323.0,13.0
324.0,29.0
325.0,20.0
326.0,16.0
327.0,31.0
328.0,47.0
329.0,64.0
330.0,19.0
331.0,21.0
332.0,55.0
333.0,53.0
334.0,21.0
335.0,49.0
336.0,99.0
337.0,27.0
338.0,17.0
339.0,50.0
340.0,47.0
341.0,24.0
342.0,45.0
343.0,94.0
344.0,53.0
345.0,34.0
346.0,68.0
347.0,35.0
348.0,76.0
349.0,32.0
350.0,13.0
351.0,40.0
352.0,17.0
353.0,11.0
354.0,89.0
355.0,122.0
356.0,71.0
357.0,60.0
358.0,44.0
359.0,10.0
360.0,19.0
361.0,73.0
362.0,24.0
363.0,35.0
364.0,45.0
365.0,27.0
366.0,32.0
367.0,102.0
368.0,18.0
369.0,41.0
370.0,101.0
371.0,17.0
372.0,90.0
373.0,40.0
374.0,108.0
375.0,18.0
376.0,57.0
377.0,67.0
378.0,114.0
379.0,100.0
380.0,24.0
381.0,126.0
382.0,23.0
383.0,19.0
384.0,47.0
385.0,42.0
386.0,34.0
387.0,56.0
388.0,181.0
389.0,75.0
390.0,94.0
391.0,132.0
392.0,49.0
393.0,22.0
394.0,84.0
395.0,37.0
396.0,33.0
397.0,48.0
398.0,57.0
399.0,30.0
400.0,36.0
401.0,67.0
402.0,200.0
403.0,24.0
404.0,12.0
405.0,27.0
406.0,80.0
407.0,35.0
408.0,52.0
409.0,19.0
410.0,41.0
411.0,30.0
412.0,19.0
413.0,96.0
414.0,66.0
415.0,24.0
416.0,62.0
417.0,49.0
418.0,35.0
419.0,84.0
420.0,34.0
421.0,21.0
422.0,24.0
423.0,47.0
424.0,25.0
425.0,36.0
426.0,77.0
427.0,31.0
428.0,80.0
429.0,160.0
430.0,47.0
431.0,15.0
432.0,80.0
433.0,24.0
434.0,36.0
435.0,176.0
436.0,112.0
437.0,132.0
438.0,41.0
439.0,117.0
440.0,23.0
441.0,43.0
442.0,87.0
443.0,34.0
444.0,21.0
445.0,66.0
446.0,111.0
447.0,32.0
448.0,126.0
449.0,124.0
450.0,22.0
451.0,62.0
452.0,19.0
453.0,52.0
454.0,193.0
455.0,75.0
456.0,116.0
457.0,17.0
458.0,71.0
459.0,60.0
460.0,95.0
461.0,200.0
462.0,49.0
463.0,15.0
464.0,33.0
465.0,150.0
466.0,103.0
467.0,162.0
468.0,89.0
469.0,86.0
470.0,89.0
471.0,28.0
472.0,42.0
473.0,114.0
474.0,26.0
475.0,21.0
476.0,55.0
477.0,9.0
478.0,56.0
479.0,23.0
480.0,29.0
481.0,43.0
482.0,57.0
483.0,179.0
484.0,142.0
485.0,13.0
486.0,35.0
487.0,32.0
488.0,200.0
489.0,55.0
490.0,108.0
491.0,200.0
492.0,44.0
493.0,84.0
494.0,27.0
495.0,139.0
496.0,28.0
497.0,36.0
498.0,98.0
499.0,25.0
500.0,27.0
501.0,41.0
502.0,46.0
503.0,65.0
504.0,189.0
505.0,53.0
506.0,66.0
507.0,135.0
508.0,32.0
509.0,33.0
510.0,159.0
511.0,52.0
512.0,62.0
513.0,126.0
514.0,194.0
515.0,81.0
516.0,38.0
517.0,62.0
518.0,97.0
519.0,176.0
520.0,84.0
521.0,75.0
522.0,200.0
523.0,33.0
524.0,45.0
525.0,110.0
526.0,120.0
527.0,167.0
528.0,28.0
529.0,80.0
530.0,74.0
531.0,136.0
532.0,58.0
533.0,84.0
534.0,129.0
535.0,43.0
536.0,26.0
537.0,66.0
538.0,54.0
539.0,70.0
540.0,59.0
541.0,78.0
542.0,50.0
543.0,38.0
544.0,123.0
545.0,94.0
546.0,153.0
547.0,50.0
548.0,24.0
549.0,29.0
550.0,20.0
551.0,170.0
552.0,98.0
553.0,108.0
554.0,91.0
555.0,141.0
556.0,127.0
557.0,49.0
558.0,88.0
559.0,200.0
560.0,30.0
561.0,87.0
562.0,200.0
563.0,200.0
564.0,59.0
565.0,132.0
566.0,43.0
567.0,151.0
568.0,26.0
569.0,164.0
570.0,74.0
571.0,67.0
572.0,199.0
573.0,62.0
574.0,124.0
575.0,200.0
576.0,36.0
577.0,200.0
578.0,18.0
579.0,16.0
580.0,43.0
581.0,115.0
582.0,194.0
583.0,140.0
584.0,63.0
585.0,101.0
586.0,85.0
587.0,43.0
588.0,200.0
589.0,136.0
590.0,97.0
591.0,102.0
592.0,15.0
593.0,108.0
594.0,33.0
595.0,90.0
596.0,37.0
597.0,156.0
598.0,141.0
599.0,142.0
600.0,22.0
601.0,124.0
602.0,151.0
603.0,67.0
604.0,188.0
605.0,21.0
606.0,172.0
607.0,200.0
608.0,13.0
609.0,49.0
610.0,200.0
611.0,20.0
612.0,71.0
613.0,61.0
614.0,154.0
615.0,108.0
616.0,64.0
617.0,14.0
618.0,87.0
619.0,200.0
620.0,100.0
621.0,69.0
622.0,200.0
623.0,92.0
624.0,23.0
625.0,20.0
626.0,174.0
627.0,48.0
628.0,87.0
629.0,200.0
630.0,25.0
631.0,14.0
632.0,197.0
633.0,58.0
634.0,193.0
635.0,200.0
636.0,44.0
637.0,200.0
638.0,114.0
639.0,128.0
640.0,24.0
641.0,176.0
642.0,76.0
643.0,119.0
644.0,76.0
645.0,128.0
646.0,15.0
647.0,110.0
648.0,135.0
649.0,82.0
650.0,88.0
651.0,17.0
652.0,128.0
653.0,13.0
654.0,200.0
655.0,147.0
656.0,145.0
657.0,200.0
658.0,60.0
659.0,159.0
660.0,12.0
661.0,189.0
662.0,163.0
663.0,200.0
664.0,193.0
665.0,186.0
666.0,130.0
667.0,119.0
668.0,118.0
669.0,177.0
670.0,130.0
671.0,82.0
672.0,159.0
673.0,45.0
674.0,117.0
675.0,200.0
676.0,147.0
677.0,72.0
678.0,20.0
679.0,191.0
680.0,46.0
681.0,200.0
682.0,168.0
683.0,200.0
684.0,200.0
685.0,174.0
686.0,24.0
687.0,20.0
688.0,200.0
689.0,157.0
690.0,38.0
691.0,116.0
692.0,42.0
693.0,170.0
694.0,45.0
695.0,148.0
696.0,101.0
697.0,200.0
698.0,30.0
699.0,200.0
700.0,113.0
701.0,200.0
702.0,200.0
703.0,63.0
704.0,99.0
705.0,79.0
706.0,200.0
707.0,200.0
708.0,20.0
709.0,131.0
710.0,27.0
711.0,55.0
712.0,121.0
713.0,200.0
714.0,143.0
715.0,192.0
716.0,200.0
717.0,200.0
718.0,200.0
719.0,190.0
720.0,86.0
721.0,200.0
722.0,41.0
723.0,105.0
724.0,200.0
725.0,200.0
726.0,200.0
727.0,124.0
728.0,200.0
729.0,197.0
730.0,200.0
731.0,200.0
732.0,21.0
733.0,151.0
734.0,188.0
735.0,200.0
736.0,22.0
737.0,200.0
738.0,91.0
739.0,58.0
740.0,200.0
741.0,82.0
742.0,21.0
743.0,144.0
744.0,186.0
745.0,200.0
746.0,137.0
747.0,80.0
748.0,200.0
749.0,200.0
750.0,113.0
751.0,70.0
752.0,200.0
753.0,20.0
754.0,28.0
755.0,200.0
756.0,200.0
757.0,200.0
758.0,200.0
759.0,200.0
760.0,55.0
761.0,140.0
762.0,63.0
763.0,200.0
764.0,174.0
765.0,19.0
766.0,122.0
767.0,122.0
768.0,157.0
769.0,157.0
770.0,23.0
771.0,200.0
772.0,198.0
773.0,166.0
774.0,102.0
775.0,24.0
776.0,21.0
777.0,22.0
778.0,180.0
779.0,23.0
780.0,200.0
781.0,174.0
782.0,200.0
783.0,69.0
784.0,200.0
785.0,84.0
786.0,80.0
787.0,200.0
788.0,65.0
789.0,19.0
790.0,119.0
791.0,30.0
792.0,132.0
793.0,193.0
794.0,36.0
795.0,200.0
796.0,57.0
797.0,87.0
798.0,200.0
799.0,179.0
800.0,165.0
801.0,200.0
802.0,200.0
803.0,107.0
804.0,78.0
805.0,200.0
806.0,200.0
807.0,200.0
808.0,43.0
809.0,20.0
810.0,200.0
811.0,200.0
812.0,200.0
813.0,200.0
814.0,100.0
815.0,200.0
816.0,90.0
817.0,109.0
818.0,200.0
819.0,195.0
820.0,134.0
821.0,110.0
822.0,99.0
823.0,200.0
824.0,106.0
825.0,200.0
826.0,45.0
827.0,200.0
828.0,103.0
829.0,200.0
830.0,200.0
831.0,109.0
832.0,174.0
833.0,18.0
834.0,200.0
835.0,200.0
836.0,120.0
837.0,200.0
838.0,200.0
839.0,200.0
840.0,185.0
841.0,157.0
842.0,64.0
843.0,55.0
844.0,165.0
845.0,185.0
846.0,184.0
847.0,173.0
848.0,200.0
849.0,161.0
850.0,14.0
851.0,14.0
852.0,162.0
853.0,35.0
854.0,200.0
855.0,200.0
856.0,200.0
857.0,197.0
858.0,199.0
859.0,200.0
860.0,16.0
861.0,200.0
862.0,134.0
863.0,200.0
864.0,200.0
865.0,200.0
866.0,200.0
867.0,150.0
868.0,122.0
869.0,123.0
870.0,200.0
871.0,200.0
872.0,200.0
873.0,200.0
874.0,62.0
875.0,200.0
876.0,28.0
877.0,200.0
878.0,200.0
879.0,200.0
880.0,182.0
881.0,200.0
882.0,126.0
883.0,95.0
884.0,47.0
885.0,12.0
886.0,200.0
887.0,64.0
888.0,200.0
889.0,200.0
890.0,87.0
891.0,200.0
892.0,200.0
893.0,200.0
894.0,200.0
895.0,200.0
896.0,53.0
897.0,29.0
898.0,200.0
899.0,200.0
900.0,86.0
901.0,200.0
902.0,177.0
903.0,200.0
904.0,149.0
905.0,200.0
906.0,200.0
907.0,28.0
908.0,109.0
909.0,200.0
910.0,135.0
911.0,200.0
912.0,117.0
913.0,200.0
914.0,200.0
915.0,200.0
916.0,16.0
917.0,200.0
918.0,200.0
919.0,200.0
920.0,143.0
921.0,200.0
922.0,200.0
923.0,14.0
924.0,200.0
925.0,130.0
926.0,192.0
927.0,200.0
928.0,165.0
929.0,200.0
930.0,200.0
931.0,200.0
932.0,161.0
933.0,86.0
934.0,200.0
935.0,187.0
936.0,200.0
937.0,51.0
938.0,200.0
939.0,200.0
940.0,200.0
941.0,200.0
942.0,200.0
943.0,200.0
944.0,200.0
945.0,199.0
946.0,200.0
947.0,200.0
948.0,200.0
949.0,200.0
950.0,200.0
951.0,95.0
952.0,187.0
953.0,200.0
954.0,200.0
955.0,15.0
956.0,58.0
957.0,99.0
958.0,200.0
959.0,105.0
960.0,182.0
961.0,200.0
962.0,200.0
963.0,95.0
964.0,70.0
965.0,200.0
966.0,200.0
967.0,200.0
968.0,200.0
969.0,200.0
970.0,200.0
971.0,200.0
972.0,200.0
973.0,200.0
974.0,57.0
975.0,200.0
976.0,167.0
977.0,154.0
978.0,166.0
979.0,200.0
980.0,200.0
981.0,200.0
982.0,200.0
983.0,200.0
984.0,200.0
985.0,200.0
986.0,200.0
987.0,24.0
988.0,200.0
989.0,83.0
990.0,200.0
991.0,132.0
992.0,140.0
993.0,134.0
994.0,107.0
995.0,47.0
996.0,167.0
997.0,200.0
998.0,162.0
999.0,175.0
1000.0,162.0
1001.0,79.0
1002.0,200.0
1003.0,60.0
1004.0,200.0
1005.0,179.0
1006.0,191.0
1007.0,200.0
1008.0,200.0
1009.0,200.0
1010.0,200.0
1011.0,123.0
1012.0,61.0
1013.0,200.0
1014.0,200.0
1015.0,200.0
1016.0,200.0
1017.0,200.0
1018.0,200.0
1019.0,200.0
1020.0,200.0
1021.0,194.0
1022.0,49.0
1023.0,84.0
1024.0,132.0
1025.0,200.0
1026.0,200.0
1027.0,200.0
1028.0,200.0
1029.0,49.0
1030.0,200.0
1031.0,22.0
1032.0,200.0
1033.0,200.0
1034.0,200.0
1035.0,125.0
1036.0,200.0
1037.0,109.0
1038.0,200.0
1039.0,200.0
1040.0,139.0
1041.0,200.0
1042.0,200.0
1043.0,200.0
1044.0,200.0
1045.0,200.0
1046.0,41.0
1047.0,197.0
1048.0,80.0
1049.0,200.0
1050.0,200.0
1051.0,200.0
1052.0,200.0
1053.0,200.0
1054.0,200.0
1055.0,200.0
1056.0,200.0
1057.0,200.0
1058.0,200.0
1059.0,200.0
1060.0,200.0
1061.0,24.0
1062.0,200.0
1063.0,200.0
1064.0,200.0
1065.0,100.0
1066.0,200.0
1067.0,200.0
1068.0,200.0
1069.0,200.0
1070.0,200.0
1071.0,200.0
1072.0,200.0
1073.0,200.0
1074.0,16.0
1075.0,200.0
1076.0,200.0
1077.0,200.0
1078.0,200.0
1079.0,200.0
1080.0,21.0
1081.0,200.0
1082.0,200.0
1083.0,200.0
1084.0,200.0
1085.0,183.0
